seller_item_name,price,Predicted,Confidence
موزابرايد 5 مجم ق 3 ش/ويسترن,91.5,1312,1.00
ميكروسرك 16 اقراص,29.0,4743,1.00
البافيت كالسيوم شراب ,26.0,2517,1.00
زيستريل 20 مجم اقراص ,52.0,2374,1.00
اتور 10مجم اقراص,33.0,639,1.00
رومارين 75 مجم 3 امبولات س.ج,27.0,2080,1.00
كولوفرين ايه 30 قرص س جديد,99.0,690,1.00
بيبون بلس كبسول سعر جديد67جنيه ,100.0,514,1.00
فاستفلام 50 مجم أقـراص,36.0,642,1.00
كونجى كلير قطره,22.0,3734,1.00
اندرال 10 مجم  اقراص,40.0,1036,1.00
بيبرا 2شريط اقراص,103.0,291,1.00
نيكسيكيور40مجم اقراص,152.0,242,1.00
سيتال شراب 60مل س 022,31.0,249,1.00
كوافازير 10مل كبير قطرة**,29.0,1738,1.00
تريب جولد 30 ك جديد,120.0,1278,1.00
اولابكس 10مجم اقراص,234.0,476,1.00
سليبريكس200مجم  3شرائط 153ج,153.0,176,1.00
افيكسور اكس آر 75 مجم 14 كبسول,122.0,1329,1.00
لوبريفسك قطرة,32.0,1757,1.00
سويتال 100 قرص,60.0,2799,1.00
ايزوجاست20مجم 14 كبسوله,122.0,4762,1.00
اميبريد 50مجم20قرص  س ج,81.0,533,1.00
دوزين 1مجم اقراص,14.0,4403,1.00
اتور 40 مجم  اقراص س ج,80.0,399,1.00
دولسيل3مم3شريط,40.5,2793,1.00
بترو 30قرص س ج,69.0,2737,1.00
تورسيريتك 100مجم 30 قرص,195.0,1326,1.00
جليبتس بلس 50/1000 اقراص س جديد,192.0,116,1.00
سيردالود 2 مجم/ س ج,54.0,1296,1.00
دوزين 1 مجم 20 قرص,14.0,4403,1.00
ستروكا اقراص,145.0,1863,1.00
تاروليمس مرهم,129.0,1022,1.00
اندرال 40مجم س ج 55ج,55.0,1457,1.00
كونفينتين 300مجم 30كبسول,114.0,36,1.00
فوليكاب 2.5 اقراص سعر جديد,22.0,2385,1.00
ميديوريتيك اقراص,15.0,2575,1.00
تومكس بلاس 50قرص جديد,60.0,4331,1.00
ابيكسيدون 1مجم اقراص,54.0,2226,1.00
اكوابلاس شراب جديد,45.0,1337,1.00
موبيتيل 15جم اقراص س ج,23.5,1323,1.00
ماكسيلاز شراب,57.0,137,1.00
ايزوجاست 20 مج14 ق,122.0,4762,1.00
دولسيل 2 مجم 3 شريط,36.0,3667,1.00
بيفاتراسين سبراى سعر جديد ,83.0,65,1.00
اتورستات 40 مجم 2شريط اقراص,76.0,2696,1.00
برونتوبلس اقراص ,26.0,1751,1.00
اماريل 1 سعر جديد ركزززززز,26.5,1573,1.00
اوتريفين نقط اطفال 24جنيه,24.0,513,1.00
سينوبريل كو3شريط,105.0,1420,1.00
ديامونريكتا 5 مجم اقراص,187.5,357,1.00
ال كارنتين شراب س ج,70.0,1191,1.00
ايرستابكس 40مجم بلاس اقراص,96.0,457,1.00
ديكسافلوكس قطرة,37.0,1255,1.00
كتافلام50مجم سعر جديد,86.0,30,1.00
البندازول 400مجم 6ق,46.0,4139,1.00
بيبون كبسول,35.0,4102,1.00
دايجنورم شراب,39.0,4398,1.00
تاروليمس مرهم,129.0,1022,1.00
بيسكالدين ق,375.0,297,1.00
برافوتين اكياس 30 كيس,290.0,95,1.00
زنكوديرم كريم 50جم,60.0,3517,1.00
موبيتيل15مجم قرص جديييييييييد,23.5,1323,1.00
بون كير 1 جم-اقراص,132.0,938,1.00
انتى كوكس 6امبول جديد,78.0,747,1.00
فنتال مركب بخاخ,56.0,198,1.00
بولى فريش اكسترا جديد,150.0,9390,1.00
DIET SWEET TABS SOLUBLE 20 MG 100,34.0,3634,1.00
اليير 5 مجم اقراص,52.0,3832,1.00
كونترولوك 20 مجم اقراص,100.0,285,1.00
الكابرس 160/10مجم  بلس اقراص س ج,76.0,3373,1.00
دولفين 25 لبوس س/ج,38.0,505,1.00
ابيكسيدون 4 مجم,126.0,Unknown,0.53
جراليبنتين300 بديل جابتن,135.0,2285,1.00
ماريفان 3مجم 100ق,36.0,2375,1.00
تاروليمس مرهم 15 جم سعر جديد,129.0,1022,1.00
انتوكس اقراص ,60.0,2599,1.00
دوجماتيل فورت 10قرص س جديد,26.0,2441,1.00
سوفيناسين5مجم 3 شريط,141.0,993,1.00
بيبرا اقراص ,103.0,291,1.00
لازيلاكتون 100مجم 3 شريط,100.5,1626,1.00
شوجارلو 50 /1000جم اقراص,136.5,1469,1.00
بيسكالدين 300 اقراص,375.0,297,1.00
كارباميد كريم/ممفيـس,35.0,1221,1.00
تريتاس 1.25مجم 14قرص س ج,44.0,1479,1.00
فوميبريك كبسول,66.0,1092,1.00
لازيكس امبول2مل صغير,24.0,1084,1.00
جليبتس بلس1000م س ج**,192.0,116,1.00
DANTRELAX COMPOUND 30 CAP,153.0,924,1.00
بانتولوك 20 مجم 14 قرص س ج,44.0,1257,1.00
ديبرام 20مجم 20ق--ابيكس,84.0,1969,1.00
موديوريتيك 30قرص,15.0,2575,1.00
نيتروماك  ريتارد 60 كبسولة,96.0,333,1.00
اترابكس 100مجم  كبسول,26.0,2897,1.00
اميبريد 50مجم اقراص س ج,81.0,533,1.00
كونجى كلير نقط,22.0,3734,1.00
امريزول 500مجم اقراص س ج,25.0,526,1.00
ثيوتاسيد300مركب30قرص,168.0,1064,1.00
فورماهال اقراص,151.0,1746,1.00
سوفيناسين 5مجم 3شريط,141.0,993,1.00
اكستنشن 150مجم 28قرص س ج,72.0,2296,1.00
ميكروسيرك16 اقراص,29.0,4743,1.00
فيافاج 100مجم 10قرص/فياجرا,55.0,3545,1.00
ناتريليكس اس ار قرص س ج,55.0,454,1.00
زيرتيك نقط,27.5,900,1.00
زيرتك شراب سعر جديد,32.5,557,1.00
بون كير 1ميكرو*/كبسول/س ج,132.0,938,1.00
فاروفيجا 12 قرص 3شريط جديد,108.0,1143,1.00
